"TIMESTAMP","RECORD","T_panel","T_air","RH_air","P_barometric","WindSpeed","WindDirection","Solar_kW","Solar_MJ_Tot","Rainfall_Tot"
"2018-04-17 18:10:00",0,52.57,-224.8,"NAN",375.2,4.132,220.8,0.395,0.08178941,0
"2018-04-17 18:15:00",1,52.61,-222.6,"NAN",375.2,4.887,223.1,0.396,0.118849,0
"2018-04-17 18:20:00",2,52.61,-221.5,"NAN",375.3,5.785,240.5,0.365,0.1142509,0
"2018-04-17 18:25:00",3,52.61,-221.3,"NAN",375.2,5.155,251,0.331,0.104017,0
"2018-04-17 18:30:00",4,52.57,-221.5,"NAN",375.3,4.929,238.1,0.31,0.09528874,0
"2018-04-17 18:35:00",5,52.53,-221,"NAN",375.3,4.469,264.9,0.305,0.09201309,0
"2018-04-17 18:40:00",6,52.44,-221.3,"NAN",375.2,5.642,265.7,0.126,0.05378366,0
"2018-04-17 18:45:00",7,52.24,-221.1,"NAN",375.2,2.584,280.7,0.296,0.05218653,0
"2018-04-17 18:50:00",8,51.95,-221.2,"NAN",375.2,5.726,262.2,0.242,0.04036572,0
"2018-04-17 18:55:00",9,51.58,-221,"NAN",375.2,5.403,232.8,0.1,0.03246211,0
"2018-04-17 19:00:00",10,51.17,-220.9,"NAN",375.2,2.381,225.5,0.085,0.02669424,0
"2018-04-17 19:05:00",11,50.69,-220.5,"NAN",375.2,3.231,223.9,0.188,0.05752087,0
"2018-04-17 19:10:00",12,50.36,-220.4,"NAN",375.2,3.463,229.4,0.193,0.05680368,0
"2018-04-17 19:15:00",13,50.12,-220.4,"NAN",375.2,4.397,271.8,0.175,0.05716519,0
"2018-04-17 19:20:00",14,49.99,-220.7,"NAN",375.2,2.989,292.7,0.13,0.0447634,0
"2018-04-17 19:25:00",15,49.91,-220.7,"NAN",375.2,5.073,296.8,0.106,0.03467995,0
"2018-04-17 19:30:00",16,49.79,-221,"NAN",375.2,3.593,286.3,0.092,0.02950069,0
